Scientific name	Lat	Lng	Date	Id	Geoprivacy	Quality grade
Escallonia pulverulenta	-33.5807418	-70.40824682	2021-12-04	139937344	open	research
Ectinogonia buquetii	-33.5807418	-70.40824682	2021-11-01	139937229	None	research
Argyrophorus argenteus	-33.46183379	-70.51209687	2022-01-22	139937152	None	research
Proustia cuneifolia	-33.63339002	-70.34934785	2022-01-22	139937102	None	needs_id
Lasionota	-33.5807418	-70.40824682	2021-10-30	139936967	None	needs_id
Quinchamalium chilense	-33.5807418	-70.40824682	2021-10-30	139936618	None	research
Cerastium arvense	-33.5807418	-70.40824682	2021-10-22	139936511	open	needs_id
Alonsoa meridionalis	-33.5807418	-70.40824682	2021-10-03	139936249	None	research
Chloraea galeata	-33.5807418	-70.40824682	2021-10-30	139935950	None	research
Loasa placei	-33.5807418	-70.40824682	2022-10-23	139894350	None	research
Solanum crispum	-33.5807418	-70.40824682	2022-09-19	139892448	None	research
Stellaria chilensis	-33.5807418	-70.40824682	2022-09-19	139892380	None	research
Colletia hystrix	-33.63339002	-70.34934785	2022-09-19	139892164	None	needs_id
Calceolaria corymbosa	-33.5807418	-70.40824682	2022-10-08	139890706	None	research
Cistanthe grandiflora	-33.5807418	-70.40824682	2022-10-22	139889436	None	research
Pasithea caerulea	-33.5807418	-70.40824682	2022-10-22	139886164	None	research
Tyto alba	-33.5807418	-70.40824682	2022-08-20	139886038	open	research
Escallonia pulverulenta	-33.5807418	-70.40824682	2022-08-27	139885845	open	needs_id
Azara petiolaris	-33.5807418	-70.40824682	2022-08-27	139885716	open	research
Tropaeolum tricolor	-33.5807418	-70.40824682	2022-09-19	139885240	None	research
Gavilea longibracteata	-33.5807418	-70.40824682	2022-09-19	139885012	None	research
Adiantum chilense	-33.5807418	-70.40824682	2022-10-23	139883924	None	needs_id
Leucheria tenuis	-33.579925	-70.39549167	2022-10-24	139876240	None	research
Cryptocarya alba	-33.579293	-70.381586	2022-10-20	139633979	open	research
