Scientific name,Lat,Lng,Date,Id,Geoprivacy,Quality grade
Liolaemus tenuis,-33.57639247,-70.39476857,2022-10-08,138261231,None,research
Loasa placei,-33.57633,-70.404666,2019-10-31,138204363,None,research
Pasithea caerulea,-33.575281,-70.400745,2019-10-31,138203997,None,research
Astylus trifasciatus,-33.58181667,-70.39451667,2022-10-08,138100599,None,research
Mimus thenca,-33.58186038,-70.40139144,2022-10-08,138034531,open,research
Solanum furcatum,-33.58184167,-70.39470278,2022-10-08,138028459,None,research
Ectinogonia buquetii,-33.58169167,-70.39484722,2022-10-08,138027810,None,research
Oxalis arenaria,-33.58666167,-70.36641667,2022-10-02,138011708,None,research
Tropaeolum tricolor,-33.57746667,-70.3934,2022-10-08,138003667,None,research
Adiantum chilense,-33.57800278,-70.39376389,2022-10-08,138001848,None,research
Colliguaja odorifera,-33.57984534,-70.39535794,2022-10-08,137999849,None,research
Calceolaria corymbosa,-33.58168333,-70.39486111,2022-10-08,137998841,None,research
Stachys grandidentata,-33.58169167,-70.39485833,2022-10-08,137998093,None,research
Stellaria chilensis,-33.5806445,-70.39640223,2022-10-08,137997605,None,research
Aristotelia chilensis,-33.58183083,-70.39449702,2022-10-08,137994022,None,research
Maytenus boaria,-33.58187472,-70.39453436,2022-10-08,137993876,open,research
Tropaeolum tricolor,-33.58175278,-70.39458056,2022-10-08,137993327,None,research
Quillaja saponaria,-33.58206716,-70.39498753,2022-10-08,137992212,open,research
Solanum crispum,-33.58205622,-70.39496326,2022-10-08,137991881,None,research
Eschscholzia californica,-33.58226462,-70.39472778,2022-10-08,137991845,None,research
Baccharis linearis,-33.58225269,-70.39475277,2022-10-08,137991791,None,research
Lithraea caustica,-33.58240659,-70.39463709,2022-10-08,137991735,open,research
Solanum crispum,-33.58182871,-70.39457482,2022-10-08,137991367,None,research
Eccremocarpus scaber,-33.58204633,-70.3946352,2022-10-08,137990965,None,research
Quillaja saponaria,-33.58236309,-70.39462907,2022-10-08,137989563,open,research
Eschscholzia californica,-33.58247873,-70.39450244,2022-10-08,137989020,None,research
Stellaria chilensis,-33.580608,-70.39640687,2021-10-16,137985377,None,research
Adiantum chilense sulphureum,-33.57746,-70.3931101,2021-10-16,137985005,None,research
Medicago sativa,-33.585802,-70.39661667,2022-10-08,137981980,open,research
Solanum crispum,-33.58215621,-70.39337708,2022-10-04,137974066,None,research
Oxalis rosea,-33.58661667,-70.366355,2022-10-02,137811524,None,research
Solenomelus pedunculatus,-33.58619667,-70.36610333,2022-10-02,137477066,None,research
Carex setifolia,-33.58673667,-70.36638667,2022-10-02,137476934,None,research
Lathyrus magellanicus,-33.58502,-70.36573833,2022-10-02,137476840,open,research
Adiantum excisum,-33.58587833,-70.36568333,2022-10-02,137476111,None,research
Phacelia secunda,-33.58634167,-70.36567833,2022-10-02,137476045,None,research
Tropaeolum tricolor,-33.58828333,-70.366705,2022-10-02,137476029,None,research
Loasa triloba,-33.53783123,-70.3939625,2022-10-02,137364648,None,research
Stellaria chilensis,-33.51997708,-70.37605721,2022-10-02,137363566,None,research
Lupinus microcarpus,-33.56561176,-70.38110423,2022-10-02,137350652,open,research
Viola subandina,-33.57661327,-70.39524165,2022-09-19,137018845,None,research
Olsynium scirpoideum,-33.57716114,-70.39563939,2022-09-10,137018549,None,research
Podanthus mitiqui,-33.57693455,-70.39548285,2022-09-10,137018354,None,research
Alstroemeria ligtu,-33.56262601,-70.39616618,2021-11-06,137018095,None,research
Blechnum hastatum,-33.57736597,-70.39268133,2022-09-10,137017887,None,research
Pasithea caerulea,-33.5796511,-70.38933285,2020-10-09,136978272,None,research
Tropaeolum tricolor,-33.58039532,-70.38820161,2020-10-09,136977849,None,research
Porlieria chilensis,-33.58749464,-70.37200787,2022-06-11,135925939,None,research
Hordeum murinum,-33.58444665,-70.3959018,2022-09-08,134163173,open,research
Bubo magellanicus,-33.58422809,-70.39270701,2022-08-28,132980712,open,research
Schinus montana,-33.53969069,-70.3617237,2022-08-15,131028330,None,research
Trichocereus chiloensis,-33.56005834,-70.34415853,2022-08-13,131026843,None,research
Maytenus boaria,-33.5288952,-70.36023915,2022-08-13,131024541,open,research
Cryptocarya alba,-33.57774491,-70.39771579,2022-07-21,130187886,open,research
Liolaemus tenuis,-33.5546016,-70.39824467,2020-12-20,129277919,None,research
Cistanthe grandiflora,-33.57644167,-70.37915,2022-07-02,125492989,None,research
Brachystele unilateralis,-33.54994275,-70.39939943,2022-02-03,123632990,None,research
Liolaemus monticola,-33.55162003,-70.39953055,2022-02-02,123632988,open,research
Mutisia subulata subulata,-33.55147697,-70.40073218,2022-02-02,123632987,None,research
